Comment,Description,Designator,Footprint,LibRef,Quantity,LCSC Part #
"2.2u","Capacitor SMD 0603 16V","C1, C4, C11","CAP_0603","CAP_0603_16V","3","C23630"
"22u","Capacitor SMD 0805 16V","C2, C3","CAP_0805","CAP_0805_16V","C45783"
"100n","Capacitor SMD 0402 16V","C5, C7, C10, C12, C13, C14, C15, C16","CAP_0402","CAP_0402_16V","8","C1525"
"10n","Capacitor SMD 0402 16V","C6","CAP_0402","CAP_0402_16V","1","C15195"
"2n2","Capacitor SMD 0402 16V","C8","CAP_0402","CAP_0402_16V","1","C1531"
"2u2","Capacitor SMD 0603 16V","C9","CAP_0603","CAP_0603_16V","1","C23630"
"10p","Capacitor SMD 0402 16V","C17, C18","CAP_0402","CAP_0402_16V","2","C32949"
"GREEN","LED 0805 GREEN SMD","D1","LED_0805_GREEN","LED_0805_GREEN","1","C5381957"
"BLUE","LED 0402 BLUE SMD","D2","LED_0402_BLUE","LED_0402_BLUE","1","C74339"
"120R","Ferrite Bead SMD 0603","FB1","FB_0603","FB_0603","1","C42102"
"47346-0001","USB - micro B USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle","J1","MOLEX_47346-0001","47346-0001","1","C132560"
"SM06B-GHS-TB","Header Connector 6 Position 1.25MM Pitch SMD Horizontal JST GH","J3","SM06B-GHS-TB","SM06B-GHS-TB","1","C133065"
"PPTC032LFBN-RC","2x3 female header","J4","PPTC032LFBN-RC","PPTC032LFBN-RC","1","C3319333"
"1k","Resistor SMD 0402","R1, R4","RES_0402","RES_0402","2","C11702"
"2k2","Resistor SMD 0402","R2, R3","RES_0402","RES_0402","2","C25879"
"10k","Resistor SMD 0402","R5, R7","RES_0402","RES_0402","2","C2924170"
"0R","Resistor SMD 0402","R6","RES_0402","RES_0402","1","C21376"
"AMS1117-3.3","","U1","SOT229P700X180-4N","AMS1117-3.3","1","C351784"
"STM32F411CEU6","","U2","QFN50P700X700X60-49N","STM32F411CEU6","1","C60420"
"MPU-6050","MPU-6050 series Accelerometer, Gyroscope, 3 Axis Sensor Evaluation Board","U3","QFN50P400X400X95-24N","MPU-6050","1","C24112"
"24MHz","Crystal SMD 24MHz 10PPM 7pF 3225","X1","XTAL_3225","TSX-3225_24.0000MF15X-AC","1","C9006"
