

"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"J2","G800W302018EU","Top","G800W302018EU","-17.0000","-2.0000","0","Pin Header 6 Position 2.54mm Pitch"
"J3","SM06B-GHS-TB","Top","SM06B-GHS-TB","-2.5187","-15.1788","0","Header Connector 6 Position 1.25MM Pitch SMD Horizontal JST GH"
"J4","PPTC032LFBN-RC","Top","PPTC032LFBN-RC","9.1150","8.5000","0","2x3 female header"
"X1","24MHz","Top","XTAL_3225","-9.3802","-4.2571","0","Crystal SMD 24MHz 10PPM 7pF 3225"
"U3","MPU-6050","Top","QFN50P400X400X95-24N","-8.2500","9.2500","270","MPU-6050 series Accelerometer, Gyroscope, 3 Axis Sensor Evaluation Board"
"U2","STM32F411CEU6","Top","QFN50P700X700X60-49N","0.0000","0.0000","0",""
"U1","AMS1117-3.3","Top","SOT229P700X180-4N","9.1270","-12.7460","270",""
"R7","10k","Top","RES_0402","-0.7500","7.0000","270","Resistor SMD 0402"
"R6","0R","Top","RES_0402","-7.7500","-0.5000","0","Resistor SMD 0402"
"R5","10k","Top","RES_0402","9.5000","11.7500","0","Resistor SMD 0402"
"R4","1k","Top","RES_0402","6.2500","-3.7500","180","Resistor SMD 0402"
"R3","2k2","Top","RES_0402","-0.5000","8.7500","180","Resistor SMD 0402"
"R2","2k2","Top","RES_0402","1.5000","8.7500","0","Resistor SMD 0402"
"R1","1k","Top","RES_0402","16.5000","-4.8000","180","Resistor SMD 0402"
"J1","47346-0001","Top","MOLEX_47346-0001","16.5887","1.3290","90","USB - micro B USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle"
"FB1","120R","Top","FB_0603","12.0000","-1.0000","180","Ferrite Bead SMD 0603"
"D2","BLUE","Top","LED_0402_BLUE","6.2500","-2.2500","0","LED 0402 BLUE SMD"
"D1","GREEN","Top","LED_0805_GREEN","17.0000","-7.5500","270","LED 0805 GREEN SMD"
"C18","10p","Top","CAP_0402","-7.7500","-1.7500","180","Capacitor SMD 0402 16V"
"C17","10p","Top","CAP_0402","-10.5000","-1.7500","180","Capacitor SMD 0402 16V"
"C16","100n","Top","CAP_0402","3.5000","-4.7500","0","Capacitor SMD 0402 16V"
"C15","100n","Top","CAP_0402","-5.2500","-1.5000","270","Capacitor SMD 0402 16V"
"C14","100n","Top","CAP_0402","5.0000","3.2500","90","Capacitor SMD 0402 16V"
"C13","100n","Top","CAP_0402","-5.5000","2.2500","90","Capacitor SMD 0402 16V"
"C12","100n","Top","CAP_0402","-2.5000","5.0000","180","Capacitor SMD 0402 16V"
"C11","2.2u","Top","CAP_0603","-7.0000","2.2500","90","Capacitor SMD 0603 16V"
"C10","100n","Top","CAP_0402","7.2500","11.7500","0","Capacitor SMD 0402 16V"
"C9","2u2","Top","CAP_0603","0.7500","-5.0000","0","Capacitor SMD 0603 16V"
"C8","2n2","Top","CAP_0402","-4.7500","8.0000","270","Capacitor SMD 0402 16V"
"C7","100n","Top","CAP_0402","-11.7500","8.2500","270","Capacitor SMD 0402 16V"
"C6","10n","Top","CAP_0402","-11.7500","10.2500","90","Capacitor SMD 0402 16V"
"C5","100n","Top","CAP_0402","-9.0000","5.7500","180","Capacitor SMD 0402 16V"
"C4","2.2u","Top","CAP_0603","12.7500","-3.0000","90","Capacitor SMD 0603 16V"
"C3","22u","Top","CAP_0805","14.2500","-12.5000","270","Capacitor SMD 0805 16V"
"C2","22u","Top","CAP_0805","8.7500","-6.5000","180","Capacitor SMD 0805 16V"
"C1","2.2u","Top","CAP_0603","11.2500","-3.0000","90","Capacitor SMD 0603 16V"
